,title,artist,track_uri,year,pos1999,pos2000,pos2001,pos2002,pos2003,pos2004,pos2005,pos2006,pos2007,pos2008,pos2009,pos2010,pos2011,pos2012,pos2013,pos2014,pos2015,pos2016,pos2017,pos2018,acousticness,danceability,duration_ms,energy,instrumentalness,loudness,speechiness,valence
80,Thriller,Michael Jackson,7azo4rpSUh8nXgtonC6Pkq,1983,81,187,162,239,340,309,408,246,506,324,52,126,144,181,176,212,205,176,147,113,0.0816,0.764,358053,0.887,0.00011,-3.726,0.0744,0.72
81,Somebody To Love,Queen,4rDbp1vnvEhieiccprPMdI,1976,82,65,88,74,104,119,126,129,150,122,134,116,104,87,91,81,65,58,66,33,0.186,0.406,296480,0.698,0.0,-7.024,0.0624,0.333
82,A Day In The Life,Beatles,0hKRSZhUGEhKU6aNSPBACZ,1967,83,66,87,98,122,127,107,76,49,75,71,75,78,82,126,148,167,241,165,247,0.29,0.364,337413,0.457,0.000106,-14.162,0.0675,0.175
83,With A Little Help From My Friends,Joe Cocker,0YZ3J8xzGwLOg4yEgST1YK,1968,84,287,148,169,238,159,180,179,335,193,233,225,201,338,311,364,220,299,286,348,0.288,0.307,312173,0.43,0.000994,-11.333,0.0629,0.305
84,I Want To Break Free,Queen,2AkmdLbVKS1steeZdy8H1l,1984,85,123,177,108,121,108,129,121,172,130,183,195,126,231,235,219,219,224,265,118,0.0841,0.795,258013,0.435,0.00026,-8.927,0.0324,0.596
85,Total Eclipse Of The Heart,Bonnie Tyler,7wuJGgpTNzbUyn26IOY6rj,1983,86,133,142,124,215,208,264,352,316,245,486,478,503,629,579,645,664,647,619,480,0.145,0.431,267360,0.723,0.0,-5.887,0.056,0.189
86,Nikita,Elton John,3G0ENKW9vzV0SuYKaWFflI,1985,87,143,181,368,396,289,410,346,359,335,669,506,737,1046,917,837,973,996,786,860,0.123,0.632,343240,0.656,0.000264,-9.29,0.0277,0.752
87,Roxanne,Police,3EYOJ48Et32uATr9ZmLnAo,1979,88,186,217,221,309,232,391,363,341,303,249,207,210,219,201,287,299,233,228,187,0.0384,0.618,191947,0.748,4.1e-06,-8.905,0.358,0.663
88,Careless Whisper,George Michael,4jDmJ51x1o9NZB5Nxxc7gY,1984,89,275,288,226,517,469,625,425,580,469,545,691,691,546,721,648,710,614,232,204,0.128,0.574,300107,0.629,0.0,-8.815,0.0363,0.786
89,Nothing Compares 2u,Sinead O'Connor,3nvuPQTw2zuFAVuLsC9IYQ,1990,90,115,200,216,126,172,247,224,343,203,254,269,300,348,364,327,394,361,323,282,0.0425,0.511,280040,0.574,2.33e-05,-7.016,0.0273,0.161
